ccn,facility_name,county_fips,state_abbr,county_name,county_name_norm,zip_code,certified_beds,avg_residents,overall_rating,latitude,longitude
335489,MORNINGSTAR RESIDENTIAL CARE CENTER,,NY,Oswego,OSWEGO,13126,120,107.2,1,43.4483,-76.529
335490,BETHEL NURSING HOME COMPANY INC,,NY,Westchester,WESTCHESTER,10562,43,35.8,2,41.1732,-73.843
335491,"THE NEW JEWISH HOME, MANHATTAN",,NY,New York,NEW YORK,10025,305,305.0,3,40.7995,-73.963
335493,CONCOURSE REHABILITATION AND NURSING CENTER INC,,NY,Bronx,BRONX,10456,240,231.6,2,40.8314,-73.92
335494,Penn Yan Manor Nursing Home Inc,,NY,Yates,YATES,14527,46,44.5,5,42.6721,-77.063
335495,WAYNE CENTER FOR NURSING & REHABILITATION,,NY,Bronx,BRONX,10467,243,235.1,3,40.8811,-73.877
335497,TRUSTEES OF EASTERN STAR HALL & HOME OF THE N Y S,,NY,Oneida,ONEIDA,13424,86,76.5,2,43.1544,-75.332
335498,GRANDELL REHABILITATION AND NURSING CENTER,,NY,Nassau,NASSAU,11561,278,270.5,4,40.5846,-73.683
335500,ELDERWOOD AT LOCKPORT,,NY,Niagara,NIAGARA,14094,126,100.9,4,43.1869,-78.67
335502,GOLDEN GATE REHABILITATION & HEALTH CARE CENTER,,NY,Richmond,RICHMOND,10314,238,231.4,1,40.6069,-74.132
335503,HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE,,NY,Queens,QUEENS,11423,305,301.4,2,40.7167,-73.768
335504,SENECA HEALTH CARE CENTER,,NY,Erie,ERIE,14224,160,146.9,4,42.8398,-78.783
335505,HIGHLAND CARE CENTER,,NY,Queens,QUEENS,11432,305,313.4,4,40.7157,-73.794
335506,BRONX CENTER FOR REHABILITATION & HEALTH CARE,,NY,Bronx,BRONX,10472,200,196.3,3,40.8263,-73.861
335508,SKY VIEW REHABILITATION & HEALTH CARE CENTER L L C,,NY,Westchester,WESTCHESTER,10520,192,171.2,4,41.2155,-73.906
335510,FOLTSBROOK CENTER FOR NURSING AND REHABILITATION,,NY,Herkimer,HERKIMER,13350,163,136.9,1,43.0262,-74.985
335511,EAST SIDE NURSING HOME,,NY,Wyoming,WYOMING,14569,80,75.8,3,42.739,-78.129
335513,SEAGATE REHABILITATION AND NURSING CENTER,,NY,Kings,KINGS,11224,305,305.0,2,40.5774,-73.994
335514,ALLEGRIA NURSING & REHAB CENTER OF PORT JEFFERSON,,NY,Suffolk,SUFFOLK,11776,143,137.6,1,40.9098,-73.046
335515,YONKERS GARDENS CENTER FOR NURSING AND REHAB,,NY,Westchester,WESTCHESTER,10701,200,190.5,1,40.9303,-73.898
335516,THE PHOENIX REHABILITATION AND NURSING CENTER,,NY,Kings,KINGS,11201,305,305.0,5,40.693,-73.978
335517,NEW EAST SIDE NURSING HOME,,NY,New York,NEW YORK,10002,58,54.3,5,40.716,-73.983
335520,IDEAL SENIOR LIVING CENTER,,NY,Broome,BROOME,13760,150,118.3,5,42.092,-76.068
335522,"HARLEM CENTER FOR NURSING AND REHABILITATION, L L",,NY,New York,NEW YORK,10037,200,196.0,3,40.8151,-73.937
