county_fips,state_abbr,county_name,county_name_norm,year,total_population,pop_65_plus,pct_pop_65_plus
01131,AL,Wilcox County,WILCOX,2024,9865,1776,0.18003
01133,AL,Winston County,WINSTON,2020,23488,4227,0.179964
01133,AL,Winston County,WINSTON,2021,23639,4255,0.179999
01133,AL,Winston County,WINSTON,2022,23741,4273,0.179984
01133,AL,Winston County,WINSTON,2023,23673,4261,0.179994
01133,AL,Winston County,WINSTON,2024,23869,4296,0.179982
02013,AK,Aleutians East Borough,ALEUTIANS EAST,2020,3426,428,0.124927
02013,AK,Aleutians East Borough,ALEUTIANS EAST,2021,3416,427,0.125
02013,AK,Aleutians East Borough,ALEUTIANS EAST,2022,3453,432,0.125109
02013,AK,Aleutians East Borough,ALEUTIANS EAST,2023,3529,441,0.124965
02013,AK,Aleutians East Borough,ALEUTIANS EAST,2024,3632,454,0.125
02016,AK,Aleutians West Census Area,ALEUTIANS WEST,2020,5223,653,0.125024
02016,AK,Aleutians West Census Area,ALEUTIANS WEST,2021,5156,644,0.124903
02016,AK,Aleutians West Census Area,ALEUTIANS WEST,2022,5115,639,0.124927
02016,AK,Aleutians West Census Area,ALEUTIANS WEST,2023,5257,657,0.124976
02016,AK,Aleutians West Census Area,ALEUTIANS WEST,2024,5424,678,0.125
02020,AK,Anchorage Municipality,ANCHORAGE MUNICIPALITY,2020,290905,36363,0.125
02020,AK,Anchorage Municipality,ANCHORAGE MUNICIPALITY,2021,288921,36115,0.125
02020,AK,Anchorage Municipality,ANCHORAGE MUNICIPALITY,2022,287520,35940,0.125
02020,AK,Anchorage Municipality,ANCHORAGE MUNICIPALITY,2023,287932,35992,0.125002
02020,AK,Anchorage Municipality,ANCHORAGE MUNICIPALITY,2024,289600,36200,0.125
02050,AK,Bethel Census Area,BETHEL,2020,18670,2334,0.125013
02050,AK,Bethel Census Area,BETHEL,2021,18589,2324,0.12502
02050,AK,Bethel Census Area,BETHEL,2022,18272,2284,0.125
02050,AK,Bethel Census Area,BETHEL,2023,18199,2275,0.125007
02050,AK,Bethel Census Area,BETHEL,2024,18237,2280,0.125021
02060,AK,Bristol Bay Borough,BRISTOL BAY,2020,864,108,0.125
02060,AK,Bristol Bay Borough,BRISTOL BAY,2021,864,108,0.125
02060,AK,Bristol Bay Borough,BRISTOL BAY,2022,877,109,0.124287
02060,AK,Bristol Bay Borough,BRISTOL BAY,2023,864,108,0.125
02060,AK,Bristol Bay Borough,BRISTOL BAY,2024,884,110,0.124434
02063,AK,Chugach Census Area,CHUGACH,2020,7082,886,0.125106
02063,AK,Chugach Census Area,CHUGACH,2021,6967,871,0.125018
02063,AK,Chugach Census Area,CHUGACH,2022,6910,864,0.125036
02063,AK,Chugach Census Area,CHUGACH,2023,6749,844,0.125056
02063,AK,Chugach Census Area,CHUGACH,2024,6604,826,0.125076
02066,AK,Copper River Census Area,COPPER RIVER,2020,2614,327,0.125096
02066,AK,Copper River Census Area,COPPER RIVER,2021,2620,328,0.125191
02066,AK,Copper River Census Area,COPPER RIVER,2022,2607,326,0.125048
02066,AK,Copper River Census Area,COPPER RIVER,2023,2656,332,0.125
02066,AK,Copper River Census Area,COPPER RIVER,2024,2631,329,0.125048
02068,AK,Denali Borough,DENALI,2020,1614,202,0.125155
02068,AK,Denali Borough,DENALI,2021,1595,200,0.125392
02068,AK,Denali Borough,DENALI,2022,1583,198,0.125079
02068,AK,Denali Borough,DENALI,2023,1595,200,0.125392
02068,AK,Denali Borough,DENALI,2024,1621,203,0.125231
